ProjectID,BuildingID,BedroomSize,MaxAllowableIncome,TotalUnits,MedianInitialLegalRent,HighInitialLegalRent,LowInitialLegalRent,MedianActualRent,HighActualRent,LowActualRent
49276,944544,2-BR,71%-80%,6,"1,486","1,486","1,486","1,433","1,433","1,433"
49276,944544,3-BR,71%-80%,6,"1,709","1,709","1,709","1,649","1,649","1,649"
49281,550156,1-BR,71%-80%,4,908,908,908,249,269,213
49281,550156,2-BR,71%-80%,2,"1,098","1,098","1,098",263,331,195
49281,550156,STUDIO,71%-80%,1,716,716,716,716,716,716
49281,944555,1-BR,71%-80%,3,908,"1,069",908,,,
49281,944555,2-BR,71%-80%,2,"1,098","1,098","1,098",235,235,235
49517,945811,1-BR,71%-80%,28,,,,"1,214","1,214","1,214"
49517,945811,2-BR,71%-80%,37,,,,"1,470","1,470","1,470"
49517,945811,3-BR,71%-80%,5,,,,"1,692","1,692","1,692"
49588,949027,STUDIO,71%-80%,11,950,"1,492",950,950,"1,492",950
49635,509831,2-BR,71%-80%,1,,,,,,
49635,611062,3-BR,71%-80%,1,,,,,,
49635,743473,3-BR,71%-80%,1,,,,,,
49635,611063,3-BR,71%-80%,1,,,,,,
49635,606930,3-BR,71%-80%,1,,,,,,
49635,524251,3-BR,71%-80%,1,,,,,,
49635,524259,3-BR,71%-80%,1,,,,,,
49635,544606,3-BR,71%-80%,1,,,,,,
49635,606794,3-BR,71%-80%,1,,,,,,
49635,607523,2-BR,71%-80%,1,,,,,,
49635,589793,3-BR,71%-80%,1,,,,,,
49938,947501,1-BR,71%-80%,5,,,,"1,178","1,178","1,178"
49938,947501,2-BR,71%-80%,9,,,,"1,422","1,422","1,422"
49938,947501,STUDIO,71%-80%,5,,,,"1,097","1,097","1,097"
50104,927022,1-BR,71%-80%,19,"1,230","1,230","1,230",,,
50104,927022,2-BR,71%-80%,40,"1,486","1,486","1,486",,,
50104,927022,STUDIO,71%-80%,20,975,975,975,,,
50156,944796,1-BR,71%-80%,36,,,,,,
50156,944796,2-BR,71%-80%,38,,,,,,
50156,944796,3-BR,71%-80%,4,,,,,,
50156,944796,STUDIO,71%-80%,5,,,,,,
50206,330371,3-BR,71%-80%,1,"1,734","1,734","1,734",0,0,0
50206,330371,4-BR,71%-80%,1,"1,937","1,937","1,937",670,670,670
50206,287193,1-BR,71%-80%,3,"1,245","1,245","1,245",681,"1,031",562
50206,287193,2-BR,71%-80%,4,"1,501","1,501","1,501",324,943,0
50206,287193,3-BR,71%-80%,1,"1,734","1,734","1,734",816,816,816
50206,383480,1-BR,71%-80%,2,"1,245","1,245","1,245",714.5,721,708
50206,383480,2-BR,71%-80%,3,"1,501","1,501","1,501",733,"1,113",685
50206,383480,3-BR,71%-80%,2,"1,734","1,734","1,734",868,924,812
50206,383480,4-BR,71%-80%,1,"1,937","1,937","1,937",931,931,931
50206,330372,2-BR,71%-80%,1,"1,501","1,501","1,501",618,618,618
50206,351727,1-BR,71%-80%,1,"1,245","1,245","1,245",641,641,641
50206,351727,2-BR,71%-80%,2,"1,501","1,501","1,501",608,"1,216",0
50206,351727,3-BR,71%-80%,1,"1,734","1,734","1,734",613,613,613
50206,351727,4-BR,71%-80%,1,"1,937","1,937","1,937",0,0,0
50206,358230,2-BR,71%-80%,1,"1,501","1,501","1,501",0,0,0
50206,330373,4-BR,71%-80%,1,"1,937","1,937","1,937",0,0,0
50206,322130,1-BR,71%-80%,3,"1,245","1,245","1,245",337,870,0
